PAPEL,COTACAO,P/L,P/VP,PSR,DIV_YIELD,P/ATIVO,P/CAP_GIRO,P/EBIT,P/ATIV_CIRC_LIQ,EV/EBIT,EV/EBITDA,MRG_EBIT,MRG_LIQ,LIQ_CORR,ROIC,ROE,LIQ_2MESES,PATRIM_LIQ,DIV_BRUT/PATRIM,CRESC_REC_5A
RRRP3,"33,96","-7.602,28","1,67","9,453","0,00%","1,262","3,21","27,67","4,79","17,77","12,08","34,17%","2,20%","4,79","8,60%","-0,02%","198.165.000,00","4.107.890.000,00","0,01","256,32%"
GNDI3,"66,95","-3.584,82","5,84","3,423","2,81%","2,378","79,65","87,05","-6,21","91,13","50,88","3,93%","-0,09%","1,17","3,09%","-0,16%","280.278.000,00","7.116.080.000,00","0,53","25,23%"
AALR3,"17,90","-376,44","1,80","1,863","0,00%",833,"-21,12","22,50","-2,51","29,41","12,95","8,28%","0,17%","0,83","4,02%","-0,48%","9.832.420,00","1.175.290.000,00","0,66","-0,42%"
DASA3,"22,03","-340,88","1,66","1,238","1,34%",672,"15,11","78,34","-2,35","98,39","14,70","1,58%","-0,26%","1,17","1,04%","-0,49%","16.301.300,00","7.418.660.000,00","0,72","30,37%"
CASH3,"2,02","-338,85","2,27","7,791","0,29%","1,965","2,75","-178,61","3,10","-116,04","-175,74","-4,36%","-1,15%","21,09","-3,63%","-0,67%","114.453.000,00","713.849.000,00","0,00","0,00%"
GEPA4,"28,90","-310,13","1,43","2,026","10,17%",688,"-4,71","15,80","-1,66","22,21","10,59","12,83%","-0,65%","0,42","5,34%","-0,46%","18.896,50","1.907.660.000,00","0,68","-0,57%"
GEPA3,"28,00","-300,47","1,39","1,963","10,50%",667,"-4,56","15,30","-1,61","21,72","10,36","12,83%","-0,65%","0,42","5,34%","-0,46%","6.217,20","1.907.660.000,00","0,68","-0,57%"
RCSL3,"3,23","-149,79","-5,98","4,112","0,00%","3,699","54,83","294,36","-3,35","288,94","140,42","1,40%","-2,75%","1,15","1,38%","3,99%","17.699.900,00","-40.976.000,00","-0,00","433,01%"
MAPT4,"21,51","-114,93","-3,35",0,"0,00%","25,573","-4.941,92","-130,91","-2,96","-130,91","-130,91","0,00%","0,00%","0,00","-19,64%","2,92%","315,07","-5.898.000,00","0,00","0,00%"
SEQL3,"10,56","-82,55","2,45",970,"0,00%",744,"11,64","104,31","-2,00","139,62","13,29","0,93%","-1,17%","1,25","0,86%","-2,97%","36.201.200,00","600.831.000,00","1,11","69,81%"
NORD3,"10,08","-67,14","-0,47","33,707","0,00%","3,802","-1,44","-63,80","-0,43","-99,76","-99,76","-52,83%","-50,20%","0,03","-6,16%","0,71%","10.128,60","-140.887.000,00","-0,27","46,63%"
FRTA3,"4,66","-62,55","-0,15",552,"0,00%",282,"-0,12","-35,31","-0,10","-261,65","-261,65","-1,56%","-0,88%","0,06","-0,96%","0,24%","7.751,85","-64.752.000,00","-0,96","-27,76%"
ELMD3,"13,26","-49,15","2,47","5,335","0,00%","1,190","4,78","-61,67","-15,48","-62,18","47,54","-8,65%","-10,85%","2,29","-3,34%","-5,03%","2.331.620,00","750.727.000,00","0,79","0,00%"
RCSL4,"0,92","-42,66","-1,70","1,171","0,00%","1,054","15,62","83,84","-0,95","78,42","38,11","1,40%","-2,75%","1,15","1,38%","3,99%","1.107.820,00","-40.976.000,00","-0,00","433,01%"
EMBR3,"14,29","-38,50","0,71",467,"0,00%",187,"0,62","7,11","-1,26","12,57","7,20","6,57%","-1,18%","2,08","3,77%","-1,85%","200.445.000,00","14.887.100.000,00","1,51","4,41%"
ORVR3,"25,81","-28,33","4,93","4,813","0,00%","1,995","12,53","36,51","-10,90","41,64","21,07","13,18%","-8,88%","1,66","5,65%","-17,39%","13.410.500,00","374.300.000,00","0,71","0,00%"
OPCT3,"3,10","-20,53","0,70",932,"0,00%",310,"1,74","235,34","-1,44","384,48","8,92","0,40%","-1,76%","2,06","0,18%","-3,43%","3.243.740,00","880.290.000,00","0,98","0,00%"
TXRX3,"27,66","-19,86","-0,38",792,"0,00%",552,"-0,44","3,97","-0,27","12,51","10,70","19,93%","-3,99%","0,26","20,57%","1,91%","506,49","-311.100.000,00","-0,81","15,22%"
DTCY3,"7,80","-19,64","55,80","8,022","0,00%","4,618","-31,98","-37,14","-8,33","-36,95","46,20","-21,60%","-40,85%","0,72","-14,31%","-284,13%","2.722,90","1.556.000,00","1,21","-8,50%"
HBSA3,"2,81","-18,58","1,50","1,655","0,00%",346,"4,50","10,89","-0,57","31,49","12,28","15,20%","-8,91%","1,92","3,47%","-8,05%","8.115.700,00","1.427.680.000,00","3,10","36,31%"
VIIA3,"3,32","-17,87","0,94",172,"0,00%",150,"-24,91","4,70","-0,47","11,47","6,10","3,65%","-0,96%","0,99","4,37%","-5,27%","243.468.000,00","5.637.000.000,00","1,67","4,50%"
SMFT3,"18,85","-17,41","2,51","6,474","0,00%",948,"4,03","-31,75","-3,62","-31,37","24,65","-20,39%","-37,09%","2,92","-4,50%","-14,43%","25.112.700,00","4.396.510.000,00","0,82","18,96%"
TELB3,"35,63","-16,83","1,67","9,027","0,00%",601,"2,21","-7,00","-1,92","-4,92","-18,15","-129,01%","-53,64%","5,93","-11,43%","-9,94%","7.948,12","1.445.520.000,00","0,16","70,12%"
TCNO3,"1,52","-15,87","-17,41",0,"0,00%",43,"-0,10","-4,68","-0,05","-20,40","-24,64","0,00%","0,00%","0,29","-1,24%","109,69%","25.378,80","-578.000,00","-58,53","53,01%"
BIOM3,"13,11","-12,98","6,78","9,266","0,00%","2,499","12,46","-16,68","-11,24","-18,80","-19,02","-55,55%","-71,41%","1,96","-18,71%","-52,27%","101.552,00","142.109.000,00","1,25","596,49%"
TCNO4,"1,22","-12,74","-13,97",0,"0,00%",34,"-0,08","-3,75","-0,04","-19,48","-23,53","0,00%","0,00%","0,29","-1,24%","109,69%","50.149,10","-578.000,00","-58,53","53,01%"
HBRE3,"6,50","-12,10","0,38","8,401","0,00%",196,"2,15","9,69","-0,87","16,30","16,16","86,67%","-78,29%","2,12","2,42%","-3,14%","263.766,00","1.767.560.000,00","0,57","0,00%"
